"TIME","L1(2)"
0,4.50027
5.00043586e-009,3.60074
5.420451573e-009,3.52554
6.260483e-009,3.37338
1.802092297e-008,1.25777
3.14614258e-008,-1.16056
5.834243145e-008,-4.49686
3.065382707e-005,-4.47853
0.000122449802,-4.42504
0.0002448444353,-4.36111
0.0004456147765,-4.28701
0.00047320675,-4.28006
0.0005302802856,-4.26883
0.0005304228387,-4.26854
0.000530431656,-4.26986
0.00053048456,-4.26924
0.0005484719035,-4.2666
0.0005665297856,-4.2644
0.0006026455499,-4.2614
0.0006748770784,-4.261
0.000747120839,-4.26795
0.000785525482,-4.27461
0.000794817068,-4.27651
0.000794881167,-4.27665
0.000794886372,-4.27736
0.000794896372,-3.66639
0.000794916372,-2.44745
0.000794956372,-0.00800302
0.000795033899,4.71993
0.000795057899,4.72028
0.000795153899,4.7198
0.000811409899,4.70647
0.000860561899,4.66427
0.000926097899,4.6048
0.001057169899,4.48176
0.001224886107,4.33311
0.001247860729,4.31388
0.001298834408,4.27335
0.001304892048,4.26867
0.001304990376,4.26892
0.00130500253,4.26938
0.001305048813,4.26807
0.001305068462,4.26921
0.001310059337,4.26534
0.001325149858,4.25422
0.001345270551,4.23994
0.001385511939,4.21341
0.001465994715,4.16937
0.001491142955,4.15816
0.001512378122,4.1497
0.001512540992,4.1497
0.001512669686,4.14965
0.001512672522,4.14852
0.001512689538,0.829378
0.001512712226,-3.5993
0.001512757602,-4.84717
0.001535899356,-4.8412
0.001559131862,-4.83431
0.001605596873,-4.81732
0.001698526897,-4.77168
0.001882312856,-4.64758
0.002063882283,-4.5018
0.002262737011,-4.34699
0.002455752074,-4.23026
0.0025645791,-4.18644
0.002591792555,-4.17832
0.002648771982,-4.16586
0.002652188659,-4.16563
0.002652215301,-4.165
0.002652375153,-4.16533
0.002652382128,-4.16596
0.002652479778,-4.16569
0.002666652978,-4.16373
0.002680937778,-4.1621
0.002709507379,-4.1601
0.002766646579,-4.16111
0.002809513312,-4.16621
0.002835657989,-4.17113
0.002836085538,-4.17123
0.002836092823,-4.17147
0.002836102823,-3.55726
0.002836162823,0.131817
0.002836239173,4.82532
0.002844423173,4.8186
0.002868999173,4.79764
0.002901767173,4.76809
0.002967303173,4.70441
