"TIME","L1(2)"
0.9785279251,3.13352
0.9785295944,3.12371
0.978529695,3.1232
0.9785297213,3.12302
0.9785297269,3.1236
0.9785300767,3.12145
0.9785326039,3.1075
0.9785354921,3.09257
0.9785412685,3.06604
0.9785528214,3.02651
0.9785643782,3.00512
0.9785679918,3.00217
0.9785705279,3.00116
0.9785719856,3.00081
0.978571997,3.00123
0.9785720232,3.00117
0.9785720301,1.12903
0.978572044,-2.61433
0.9785720717,-5.99539
0.9785737924,-5.97982
0.9785791208,-5.92909
0.9785862253,-5.85619
0.9786004343,-5.69418
0.9786288524,-5.31939
0.9786730371,-4.66835
0.9787227421,-3.95599
0.9787713289,-3.39917
0.97879926,-3.17418
0.9788036672,-3.14547
0.9788062442,-3.12979
0.9788076113,-3.12176
0.9788077117,-3.12127
0.978807749,-3.12105
0.9788077564,-3.12156
0.9788086959,-3.11618
0.978811559,-3.10071
0.9788153765,-3.08177
0.9788230115,-3.04974
0.9788382814,-3.0094
0.9788421009,-3.00426
0.9788500424,-2.99993
0.9788500508,-3.0001
0.9788500808,-0.975603
0.9788500871,-0.554347
0.9788500996,0.288995
0.9788501842,5.99595
0.9788515909,5.98319
0.9788558276,5.94315
0.9788614766,5.8864
0.9788727746,5.76225
0.9788953706,5.47818
0.9789405626,4.82744
0.9789928778,4.06769
0.9790408265,3.48743
0.9790716603,3.21556
0.9790776464,3.17325
0.979082139,3.14411
0.9790853325,3.12497
0.9790857195,3.12296
0.9790857316,3.1225
0.9790857487,3.12304
0.9790868062,3.11705
0.9790900811,3.09942
0.9790944477,3.07813
0.9791031809,3.04323
0.9791206473,3.00449
0.9791252875,3.00118
0.9791279919,3.00059
0.9791280547,3.00059
0.9791280598,3.00015
0.9791280698,0.301798
0.9791280898,-5.0956
0.9791281298,-5.99543
0.9791293298,-5.98475
0.9791331698,-5.94878
0.9791382898,-5.89802
0.9791485298,-5.78759
0.9791690098,-5.53616
0.9792099698,-4.95556
0.979256261,-4.26846
0.9793037489,-3.64441
0.9793580947,-3.16262
0.9793631286,-3.1312
0.9793646942,-3.1221
0.9793647852,-3.12155
0.979364828,-3.12177
0.9793665961,-3.11191
0.9793684212,-3.10212
0.9793720715,-3.08388
0.9793793721,-3.05275
0.9793939731,-3.01214
0.9793976254,-3.00651
0.9794053869,-3.00059
0.979407114,-3.00039
0.9794071215,-3.00049
0.9794071915,1.72215
0.9794072548,5.99557
0.9794088537,5.98098
0.9794136692,5.93516
0.9794200899,5.86979
0.9794329313,5.72555
0.979458614,5.39347
0.9795060014,4.70158
0.9795550956,3.99479
0.9796042463,3.42198
0.9796354515,3.16961
0.9796398713,3.14131
0.9796428023,3.12384
0.9796428961,3.12334
0.9796429146,3.12389
0.9796432847,3.12161
0.9796460484,3.10639
0.9796492069,3.09023
0.979655524,3.0619
0.9796681581,3.02142
0.9796807961,3.00264
0.9796835622,3.00143
0.9796852083,3.00122
0.9796852155,3.00118
0.9796852255,0.303381
0.9796852455,-5.09262
0.9796852855,-5.9948
0.9796864855,-5.98414
0.9796903255,-5.94818
0.9796954455,-5.89744
0.9797056855,-5.78705
0.9797261655,-5.53571
0.9797671255,-4.95532
0.9798134171,-4.26848
0.9798609051,-3.64468
0.9799152528,-3.1631
0.9799202867,-3.1317
0.9799218913,-3.12236
0.9799219433,-3.12198
0.9799219576,-3.1224
0.9799237541,-3.11241
0.9799255792,-3.10263
0.9799292292,-3.0844
0.9799365294,-3.05328
0.9799511298,-3.0127
0.9799547819,-3.00708
0.979962543,-3.00116
0.97996427,-3.00097
0.9799642775,-3.00155
0.9799643075,-0.977321
0.9799644109,5.99501
0.9799660106,5.98048
0.9799708285,5.93464
0.9799772525,5.86922
0.9799901004,5.72491
0.9800157963,5.39266
0.9800631881,4.7008
0.9801122618,3.99452
0.980161418,3.42194
0.9801926262,3.16975
0.9801970455,3.14148
0.9801999762,3.12406
0.9802000151,3.12391
0.9802000383,3.1243
0.9802009968,3.11877
0.9802039651,3.10269
0.9802079229,3.08307
0.9802158384,3.05011
0.9802316694,3.00969
0.9802366184,3.00404
0.9802390961,3.00246
0.9802422927,3.00167
0.980242354,3.00169
0.9802423633,0.484233
0.980242382,-4.5498
0.9802424193,-5.99453
0.9802435392,-5.98455
0.9802471227,-5.95108
0.9802519007,-5.90401
0.9802614567,-5.80204
0.9802805687,-5.57089
0.9803187927,-5.03564
0.9803640415,-4.36142
0.9804110148,-3.72562
0.9804624069,-3.22628
0.9804689433,-3.17925
0.980470579,-3.16815
0.9804746696,-3.14184
0.9804780618,-3.12164
0.9804781904,-3.1209
0.9804782168,-3.12071
0.9804782225,-3.12127
0.9804789352,-3.11716
0.9804811076,-3.10526
0.980484004,-3.09036
0.9804897968,-3.06392
0.9805013824,-3.02465
0.9805129742,-3.00361
0.9805166003,-3.00078
0.980519697,-2.9998
0.9805205121,-2.99971
0.9805205185,-2.99994
0.9805205485,-0.975772
0.9805206518,5.9961
0.9805214478,5.98898
0.9805238544,5.96668
0.9805270633,5.93583
0.9805334812,5.87047
0.9805463168,5.72629
0.9805719881,5.39433
0.9806193715,4.70234
0.9806684833,3.99504
0.9807176293,3.42199
0.980748832,3.16943
0.9807532521,3.1411
0.9807562771,3.1231
0.9807563277,3.12284
0.9807563426,3.12263
0.9807563624,3.12313
0.9807575922,3.11616
0.9807614005,3.09589
0.9807664783,3.07185
0.9807766338,3.03421
0.9807969448,3.0009
0.9807986931,3.00062
0.980798699,3.00077
0.980798729,-5.09435
