"TIME","L1(2)"
0,0
5.000185732e-009,-0.899665
5.420180435e-009,-0.975071
6.260169842e-009,-1.1267
7.940148656e-009,-1.42866
3.145985205e-008,-5.66078
5.833951308e-008,-8.9971
3.065229374e-005,-8.9788
0.000122443677,-8.92532
0.000244832188,-8.86139
0.0004456020804,-8.78729
0.000473193525,-8.78034
0.000530279847,-8.76919
0.000530378253,-8.76878
0.000530417335,-8.76943
0.000530434971,-8.76885
0.000530440631,-8.77004
0.000530474591,-8.7693
0.0005536126427,-8.7662
0.0006231626376,-8.7608
0.0007158959642,-8.76431
0.0007943624116,-8.7767
0.00079487416,-8.77659
0.000794909976,-8.77722
0.000794928972,-8.7766
0.000794960637,-6.84611
0.000795054636,-1.11317
0.00079507649,0.219838
0.0007951140896,0.219504
0.0007951642224,0.21955
0.000795264488,0.219549
0.0007958660814,0.219034
0.0008014809537,0.21444
0.0008078979505,0.209152
0.0008207319443,0.198432
0.0008463999317,0.176444
0.0008977359066,0.130655
0.001000407856,0.0348547
0.001171293633,-0.121703
0.001257721404,-0.194594
0.001279325702,-0.211878
0.001284727053,-0.216126
0.001297555652,-0.226069
0.001303304335,-0.230453
0.001304661943,-0.23147
0.001304683226,-0.231553
0.001304725792,-0.231571
0.001304737681,-0.23135
0.001304761459,-0.231599
0.001304768652,-0.232017
0.001304783038,-0.231591
0.00130481181,-0.231082
0.001304984442,-0.231249
0.00130567497,-0.231743
0.001312119898,-0.236588
0.00131948553,-0.242034
0.001334216794,-0.252679
0.001363679323,-0.272915
0.001422604379,-0.308796
0.001481529125,-0.338044
0.001496258906,-0.344287
0.001507768566,-0.34887
0.00151191717,-0.350442
0.001511975184,-0.350423
0.001512091212,-0.350525
0.001512323268,-0.35059
0.001512330673,-0.349703
0.001512340673,-2.30153
0.001512366922,-7.4229
0.00151237942,-9.34701
0.001525152376,-9.3441
0.001563546232,-9.33294
0.00161473804,-9.31354
0.001717121656,-9.2609
0.001888529544,-9.14234
0.002072027754,-8.99439
0.002267579344,-8.84272
0.002460443344,-8.72744
0.002568170524,-8.68505
0.002595108962,-8.67726
0.00265083073,-8.66551
0.00265103413,-8.66551
0.002651041225,-8.6665
0.002651140555,-8.66591
0.002665557596,-8.66389
0.002709149277,-8.66027
0.00278180624,-8.66284
0.002818145748,-8.66814
0.002834677579,-8.67145
0.002834684884,-8.67176
0.002834714884,-6.82698
0.002834733637,-5.6754
0.002834808649,-1.06355
0.002834831237,0.325096
0.002834841239,0.324703
0.002834861242,0.325266
0.002834981261,0.324966
0.002835461338,0.324574
0.002845062874,0.316615
0.002855304512,0.307975
0.002875787789,0.290136
0.002916754343,0.252417
0.00299868745,0.170466
0.003162553664,-0.0054225
0.003332962992,-0.181703
0.003427206081,-0.268595
0.003450763856,-0.288726
0.003498431352,-0.326483
0.003499352479,-0.327191
0.003500463673,-0.327991
0.00350049862,-0.327392
0.003500545216,-0.327562
0.003500638408,-0.32751
0.003500824792,-0.327781
0.003506416312,-0.331917
0.0035123806,-0.336254
0.003524309176,-0.344707
0.003548166328,-0.360689
0.003595880632,-0.388764
0.003643595636,-0.411394
0.003654032546,-0.415613
0.003662983514,-0.419007
0.003663076798,-0.419125
0.003663263366,-0.419024
0.003663407015,-0.419139
0.003663413311,-0.419675
0.003663425903,-0.417962
0.003663451087,-0.419286
0.003663454859,-0.419091
0.003663462403,-1.91635
0.003663477491,-4.90872
0.003663507667,-9.41538
0.003665378579,-9.41532
0.003694347539,-9.40737
0.003725247764,-9.39665
0.003787048213,-9.36855
0.00391064911,-9.28921
0.004083618389,-9.14146
0.004290973386,-8.94303
0.004481013496,-8.77585
0.004693092792,-8.64538
0.004805398993,-8.60839
0.004834361337,-8.60286
0.004834456194,-8.6027
0.004834464579,-8.60352
0.004834481349,-8.60217
0.004834486793,-8.60345
0.004840050561,-8.60247
0.004856774528,-8.6004
0.004879073152,-8.5987
0.004923670398,-8.59891
0.004976644317,-8.60535
0.00498906579,-8.60786
0.004989408549,-8.60777
0.004989468798,-8.60749
0.004989471306,-8.60412
0.004989476321,-8.29916
0.004989531444,-4.89209
0.004989616908,0.388558
0.004989628932,0.388833
0.004989652982,0.388571
0.004989701081,0.388398
0.004989797279,0.388434
0.004989989676,0.38823
0.004991144056,0.387315
0.004995761576,0.383501
0.00500191827,0.378351
0.005014231657,0.367802
0.005038858432,0.345734
0.005088111982,0.298082
0.00518661908,0.191776
0.005372897941,-0.0262442
0.005545356823,-0.218766
0.00564345986,-0.314692
0.005667982449,-0.33663
0.005717027627,-0.376829
0.005726605358,-0.384082
0.005728905218,-0.38581
0.005729001332,-0.385835
0.005729578016,-0.38635
0.005729675362,-0.386321
0.005730259438,-0.386803
0.005730265598,-0.386596
0.005730277918,-0.387064
0.005730302558,-0.38681
0.005730309967,-0.38613
0.005730324785,-0.386577
0.005730354421,-0.386509
0.005730413693,-0.386233
0.005730532237,-0.386431
0.005730769325,-0.386703
0.005734088556,-0.38913
0.005745468779,-0.39727
0.005760642409,-0.407628
0.005790989669,-0.426584
0.005851684189,-0.45711
0.005863062271,-0.461726
0.005869703742,-0.464258
0.005873031208,-0.465455
0.005873091007,-0.46562
0.005873449799,-0.465651
0.005873465057,-0.465204
0.005873556606,-0.465837
0.005873564858,-0.466929
0.005873574858,-2.47376
0.005873594858,-6.4889
0.005873634858,-9.46218
0.005883794858,-9.45965
0.005914514858,-9.45012
0.005955474858,-9.43346
0.006037394858,-9.38759
0.006201234858,-9.25557
0.006378552758,-9.07503
0.00656669598,-8.87531
0.006759986244,-8.69991
